LocalCouncil_ID,LocalCouncilName,Address Line 1,Address Line 2,Town,County,Postcode,Locality,Telephone.,Fax.,Bypass.,Approximate List Size,Type of Computer System,Computer Used in Consultations,Appointment System,Leaflets,Date of Last Update,TypeofLocalCouncil
24,Orpington,,,Orpington,Kent,BR5 4LA,,01689 822022,01689 897929,01689  897929,2400,6,TRUE,2,TRUE,,4
25,Orpington,,St Pauls Cray,Orpington,Kent,BR5 2JP,,01689 832454,01689 826165,01689 890615,10500,4,FALSE,2,TRUE,,2
26,Chislehurst,,,Chislehurst,Kent,BR7 5AX,,020 8467 5551,0208 295 0542,020 8 467 6155,13400,9,TRUE,2,FALSE,,2
27,Orpington,,Petts Wood,Orpington,Kent,BR5 1LH,,01689 820268,01689 839414,01689 827378,5500,5,TRUE,2,TRUE,,3
28,Orpington,,,Orpington,Kent,BR6 9JR,,01689 821179,,,,0,FALSE,0,FALSE,,0
29,Bromley,46 Southlands Road,,Bromley,Kent,BR2 9QP,,020 8289 3981,0208 289 3245,07949 088731,1500,9,FALSE,2,FALSE,,4
30,Mottingham,,,Mottingham,London,SE9 4BJ,,020 851 1303,,,,0,FALSE,0,FALSE,,0
31,Beckenham,50 Manor Road,,Beckenham,Kent,BR3 5LG,,020 8650 2444,020 8663 0487,020 8658 7119,8500,4,FALSE,2,FALSE,,4
32,Hayes,,,Hayes,Kent,BR2 7JF,,020 8462 2880,020 8462 9581,020 8462 2292,6200,4,TRUE,2,TRUE,,3
33,Orpington,59 Sevenoaks Road,,Orpington,Kent,BR6 9JN,,01689 820159,01689 875533,01689 875355,9200,5,TRUE,2,TRUE,,4
34,Chelsfield,62 Windsor Drive,,Chelsfield,Kent,BR6 6HD,,01689 852204,01689 857122,01689 860278,7500,4,FALSE,2,TRUE,,5
35,Green St Green,7 High Street,,Green St Green,Kent,BR6 6BG,,01689 850231,01689 862746,,3400,9,FALSE,2,TRUE,,4
36,Orpington,21a High Street,Green St Green,Orpington,Kent,BR6 6BG,,01689 850012,01689 862247,01689 850249,4500,4,TRUE,2,TRUE,,4
37,Orpington,,,Orpington,Kent,BR6 0HS,,01689 837366,01689 872990,,,0,FALSE,0,FALSE,,0
38,West Wickham,,,West Wickham,Kent,BR4 0PU,,020 8777 8245,020 8776 0955,020 8777 9323,12000,4,FALSE,1,TRUE,,4
39,Upper Norwood,,,Upper Norwood,London,SE19 1PA,,0181 670 3689,0181 653 9628,,1000,12,FALSE,3,TRUE,,4
40,,Robin Hood Surgery,Anerley,,London,SE20 7AB,,0208 778 6644,0208 778 5529,,4670,4,TRUE,1,TRUE,,3
41,Orpington,108 Chislehurst Road,,Orpington,Kent,BR6 0DW,,01689 826664,01689 890795,01689 873518,4000,9,TRUE,2,TRUE,,1
42,Mottingham,198 Court Farm Road,,Mottingham,London,SE9 4JS,,020 8857 0011,020 8857 8894,020 8857 8894,10300,4,FALSE,1,TRUE,,2
43,Downham,27 Brook Lane,,Downham,Bromley,BR1 4PX,,020 8461 3333,020 8695 5567,020 8695 5567,10300,4,TRUE,1,FALSE,,2
44,Orpington,8 Sevenoaks Road,,Orpington,Kent,BR6 9JJ,,01689 822767,01689 890160,01689 890160,3100,4,TRUE,2,TRUE,,4
45,Bromley,1a Pope Road,,Bromley,Kent,BR2 9SS,,020 8460 4611,020 8460 9450,020 8460 9450,8750,14,FALSE,1,TRUE,,4
46,Farnborough,84 High Street,,Farnborough,Kent,BR6 7EA,,01689 857691,,,,0,FALSE,0,FALSE,,0
47,Orpington,109a Crofton Road,,Orpington,Kent,BR6 8HX,,01689 822266,01689 890790,01689 878509,,14,FALSE,2,TRUE,,4
48,Beckenham,29 Beckenham Road,,Beckenham,Kent,BR3 4PR,,020 8650 0173,020 8663 3911,,13200,9,TRUE,2,TRUE,,2
49,St Mary Cray,42 Poverest Road,,St Mary Cray,Kent,BR5 2DQ,,01689 833643,01689 891976,01689 833645,9997,4,TRUE,2,TRUE,,4
50,Bromley,South View,,Bromley,Kent,BR1 3DR,,020 8460 1945,020 8313 1423,020 8290 6041,10700,9,TRUE,1,TRUE,,1
51,Penge,21 High Street,,Penge,London,SE20 7SS,,020 8776 6514,020 8776 6514,020 8650 9508,1500,0,FALSE,0,TRUE,,0
52,Farnborough,Starts Hill Road,,Farnborough,Kent,BR6 7AR,,01689 852165,01689 854512,01689 861084,7400,0,FALSE,2,TRUE,,3
53,Bromley,Kinnaird House,37-39 London Lane,Bromley,Kent,BR1 4HB,,020 8460 2661,020 8464 5041,020 8460 8698,,0,FALSE,0,FALSE,,0
54,Anerley,113 Anerley Road,,Anerley,London,SE20 8AJ,,020 8778 8027,020 8289 1418,020 8659 8037,6000,12,FALSE,2,TRUE,,1
55,Hayes,,,Hayes,Kent,BR2 7LL,,020 8462 1601,020 8462 7410,020 8462 9427,5320,14,TRUE,2,TRUE,,1
56,Biggin Hill,Stock Hill,,Biggin Hill,Kent,TN16 3TJ,,01959 573352,,01959 578717,,0,FALSE,0,FALSE,,0
57,,,,,,,,,,,,0,FALSE,0,FALSE,,0
58,,"84, London Lane",Bromley,,Kent,BR1 4HE,,020 8466 8844,020 8466 8465,,1700,0,FALSE,2,FALSE,,4
59,,"38, Marion Crescent",Orpington,,Kent,BR5 2DD,,01689 818696,016889 609634,01689 815388,1700,9,FALSE,2,FALSE,,3
60,Kent,"2, Stanhope Grove",Beckenham,Kent,,BR3 3JB,,0208 650 9508,0208 778 7424,0208 776 6514,,0,FALSE,1,FALSE,,5
61,Orpington,"31 High Street,",St. Mary Cray,Orpington,Kent,BR5 3NL,,01689 831949,01689 833595,,,0,FALSE,1,FALSE,,5
62,Kent,44 Sevenoaks Road,Orpington,Kent,,BR6 9JR,,01689 821179,01689 832579,,,9,TRUE,3,TRUE,,5
63,Kent,1 Crofton Avenue,Orpington,Kent,,BR6 9JR,,01689 852089,,,,9,TRUE,3,TRUE,,5
